fichero,unidad,estrato,fondo_mediana,surco_mediana,surco_p90,contraste
conc_s06_t10.tif,6-L1,temprano,78.0,91.0,118.0,13.0
conc_s10_t04.tif,10-L2,temprano,78.0,93.0,129.0,15.0
conc_s02_t05.tif,2-L2,temprano,75.0,93.0,131.0,18.0
conc_s06_t21.tif,6-L1,tardio,75.0,93.0,126.0,18.0
conc_s02_t05.tif,2-L1,temprano,75.0,100.0,197.0,25.0
conc_s01_t04.tif,1-L1,temprano,75.0,100.0,135.0,25.0
conc_s02_t21.tif,2-L2,tardio,75.0,100.0,193.0,25.0
conc_s04_t04.tif,4-L1,temprano,78.0,104.0,149.0,26.0
conc_s04_t04.tif,4-L2,temprano,78.0,104.0,186.0,26.0
conc_s01_t05.tif,1-L2,temprano,75.0,106.0,149.0,31.0
conc_s10_t21.tif,10-L2,tardio,78.0,109.0,202.5999999999999,31.0
conc_s05_t05.tif,5-L3,temprano,78.0,113.0,160.20000000000027,35.0
conc_s02_t21.tif,2-L1,tardio,75.0,111.0,255.0,36.0
conc_s04_t20.tif,4-L1,tardio,75.0,115.0,255.0,40.0
conc_s04_t21.tif,4-L2,tardio,75.0,120.0,255.0,45.0
conc_s05_t04.tif,5-L2,temprano,78.0,124.0,177.0,46.0
conc_s05_t04.tif,5-L1,temprano,78.0,126.0,197.0,48.0
conc_s05_t21.tif,5-L1,tardio,75.0,124.0,255.0,49.0
conc_s01_t21.tif,1-L1,tardio,75.0,124.0,205.60000000000002,49.0
conc_s09_t04.tif,9-L1,temprano,78.0,129.0,255.0,51.0
conc_s05_t21.tif,5-L2,tardio,75.0,131.0,255.0,56.0
conc_s05_t21.tif,5-L3,tardio,75.0,135.0,255.0,60.0
conc_s10_t04.tif,10-L1,temprano,78.0,144.0,255.0,66.0
conc_s09_t21.tif,9-L1,tardio,78.0,144.0,255.0,66.0
conc_s01_t21.tif,1-L2,tardio,75.0,142.0,255.0,67.0
conc_s03_t05.tif,3-L1,temprano,78.0,155.0,204.0,77.0
conc_s10_t21.tif,10-L1,tardio,78.0,155.0,255.0,77.0
conc_s09_t04.tif,9-L2,temprano,78.0,164.0,255.0,86.0
conc_s03_t21.tif,3-L1,tardio,78.0,184.0,255.0,106.0
conc_s07_t04.tif,7-L2,temprano,84.0,213.0,255.0,129.0
conc_s07_t21.tif,7-L1,tardio,84.0,220.0,255.0,136.0
conc_s09_t21.tif,9-L2,tardio,78.0,217.0,255.0,139.0
conc_s07_t21.tif,7-L2,tardio,84.0,231.0,255.0,147.0
conc_s07_t04.tif,7-L1,temprano,84.0,249.5,255.0,165.5
