apartado,factor,a,b,diferencia,ic_bajo,ic_alto,ganadas,n,separado
A5.1,modo,microsam_lm M1 x P1 x S0,microsam_lm M0 x P1 x S0,0.1813,0.1007,0.2727,16,17,True
A5.1,modo,microsam_lm M4 x P1 x S0,microsam_lm M1 x P1 x S0,-0.0062,-0.0213,0.0079,8,17,False
A5.1,modo,microsam_lm M4 x P1 x S1,microsam_lm M1 x P1 x S1,-0.0316,-0.0637,-0.0051,5,17,True
A5.1,modo,microsam_lm M1 x P2 x S0,microsam_lm M0 x P2 x S0,0.1685,0.0931,0.2546,16,17,True
A5.1,modo,microsam_lm M4 x P2 x S0,microsam_lm M1 x P2 x S0,-0.0065,-0.0245,0.0124,8,17,False
A5.1,modo,microsam_lm M4 x P2 x S1,microsam_lm M1 x P2 x S1,-0.0101,-0.0371,0.0175,7,17,False
A5.1,modo,microsam_lm M1 x P3 x S0,microsam_lm M0 x P3 x S0,0.1775,0.1011,0.2606,16,17,True
A5.1,modo,microsam_lm M4 x P3 x S0,microsam_lm M1 x P3 x S0,-0.0176,-0.054,0.0114,9,17,False
A5.1,modo,microsam_lm M4 x P3 x S1,microsam_lm M1 x P3 x S1,-0.0026,-0.0286,0.0213,7,17,False
A5.1,modo,microsam_lm M1 x P4 x S0,microsam_lm M0 x P4 x S0,0.1617,0.0845,0.2375,14,17,True
A5.1,modo,microsam_lm M4 x P4 x S0,microsam_lm M1 x P4 x S0,0.0025,-0.0249,0.0286,10,17,False
A5.1,modo,microsam_lm M4 x P4 x S1,microsam_lm M1 x P4 x S1,0.0253,0.0013,0.051,12,17,True
A5.1,modo,sam21 M1 x P1 x S0,sam21 M0 x P1 x S0,0.0383,-0.0221,0.1113,10,17,False
A5.1,modo,sam21 M3 x P1 x S0,sam21 M1 x P1 x S0,0.0246,-0.0459,0.1053,10,17,False
A5.1,modo,sam21 M4 x P1 x S0,sam21 M1 x P1 x S0,0.0675,0.0251,0.1162,14,17,True
A5.1,modo,sam21 M4 x P1 x S0,sam21 M3 x P1 x S0,0.0429,-0.0575,0.1462,9,17,False
A5.1,modo,sam21 M4 x P1 x S1,sam21 M1 x P1 x S1,0.0792,0.0184,0.1485,12,17,True
A5.1,modo,sam21 M1 x P2 x S0,sam21 M0 x P2 x S0,0.032,-0.0316,0.1106,7,17,False
A5.1,modo,sam21 M3 x P2 x S0,sam21 M1 x P2 x S0,0.0466,-0.0428,0.1498,12,17,False
